കവിതകൾ/ പാട്ടുകൾ,വൃത്തം,Poet,Type
കണ്ണിന്നു കൗതുകം ചേർത്തു മിന്നി,,കട്ടക്കയം,
വിത്തമെന്തിനു മർത്ത്യന്നു,,ഉള്ളൂർ എസ്. പരമേശ്വരയ്യർ,
വിദ്യ കൈവശമാകുകിൽ,,ഉള്ളൂർ എസ്. പരമേശ്വരയ്യർ,
എൻ കുഞ്ഞുറങ്ങിക്കൊൾകെൻ കുഞ്ഞുറങ്ങിക്കൊൾ,,വള്ളത്തോൾ,
കെൻ കുഞ്ഞുറങ്ങിക്കൊൾ കെൻറെ തങ്കം,,വള്ളത്തോൾ,
വന്ദിപ്പിൻ മാതാവിനെ വന്ദിപ്പിൻ മാതാവിനെ,,വള്ളത്തോൾ,
വന്ദിപ്പിൻ സമുദ്രാത്മ ഭൂവാമീ ശ്രീദേവിയെ,,വള്ളത്തോൾ,
ഭാരതമെന്ന പേർ കേട്ടാലഭിമാന,,വള്ളത്തോൾ,
പൂരിതമാകണമന്തരംഗം,,വള്ളത്തോൾ,
ക്രിസ്തു ദേവന്റെ പരി ത്യാഗശീലവും സാക്ഷാൽ,കേക,വള്ളത്തോൾ,
കൃഷ്ണനാം  ഭഗവാന്റെ ധർമ്മരക്ഷോപായവും,കേക,വള്ളത്തോൾ,
മോരും മുതിരയുമെന്ന കണക്കിൽ,,പന്തളം,
ചേരാതെന്നു മിരുന്നീടൊല്ലാ,,പന്തളം,
പച്ചക്കിളിയൊന്നു പാറി  യൊരു,,കുട്ടമത്ത്,താരാട്ട് 
കൊച്ചശോകത്തോപ്പിലേറി,,കുട്ടമത്ത്,താരാട്ട് 
ഇരമ്പവും കമ്പവുമെന്നുമില്ലാ,,കുറ്റിപ്പുറത്ത് കേശവൻ നായർ,
തുണർന്ന നാട്ടിൻ പുറമെത്ര രമ്യം,,കുറ്റിപ്പുറത്ത് കേശവൻ നായർ,
തത്തിക്കളിച്ചും വരിനെല്ലു മെല്ലെ,,പള്ളത്ത് രാമൻ,
കൊത്തി ക്കൊറിച്ചും ചിറകിട്ടടിച്ചും,,പള്ളത്ത് രാമൻ,
ഇത്തിരിപ്പൂവേ ചുവന്ന പൂവേ,,ജി. ശങ്കരക്കുറുപ്പ്,
ഇത്രനാളെങ്ങു നീ പോയി പൂവേ ?,,ജി. ശങ്കരക്കുറുപ്പ്,
വാ കുരുവീ വരു കുരുവീ,,ജി. ശങ്കരക്കുറുപ്പ്,
വാഴക്കൈമേലിരി കുരുവീ,,ജി. ശങ്കരക്കുറുപ്പ്,
ജയജയ കോമള കേരളധരണീ,,ബോധേശ്വരൻ,
ജയജയ മാമക പൂജിത ജനനീ,,ബോധേശ്വരൻ,
രാക്കിളിയുച്ചത്തിൽ പാടുംപല,,വെണ്ണിക്കുളം  ഗോപാലക്കുറുപ്പ്,താരാട്ട് 
പൂക്കൾ നിരന്നു നിന്നാടും,,വെണ്ണിക്കുളം  ഗോപാലക്കുറുപ്പ്,താരാട്ട് 
മേടക്കൊടും വെയിൽച്ചൂടിൻ നടുവിലും,,വെണ്ണിക്കുളം  ഗോപാലക്കുറുപ്പ്,
പാടത്തു മേയുന്ന പൈക്കിടാവേ,,വെണ്ണിക്കുളം  ഗോപാലക്കുറുപ്പ്,
ചന്ദ്രികയൊഴുകും തിരുവാതിരയും,,വെണ്ണിക്കുളം  ഗോപാലക്കുറുപ്പ്,
ചന്ദനഗന്ധം തഴുകും രാവും,,വെണ്ണിക്കുളം  ഗോപാലക്കുറുപ്പ്,
വാരുറ്റ പൈതലേ താലേലം  റബ്ബിൻ,,ടി.ഉബൈദ്,
കാരുണ്യക്കാതലേ താലേലം,,ടി.ഉബൈദ്,
പോവല്ലേ പോവല്ലേ പൊന്നോണമേ,,ഇടപ്പള്ളി ആർ രാഘവൻ പിള്ള,
പൂവല്ലേ ഞാനിട്ടു പൂജിക്കുന്നു,,ഇടപ്പള്ളി ആർ രാഘവൻ പിള്ള,
നാലഞ്ചു കമ്പിനാൽ തീർത്ത കുടിലിൽ ഞാൻ,,ഇടപ്പള്ളി ആർ രാഘവൻ പിള്ള,
നാകത്തെ നിത്യവും കണ്ടിരുന്നു,,ഇടപ്പള്ളി ആർ രാഘവൻ പിള്ള,
കുഞ്ഞു ചിരിച്ചാലെല്ലാരും,,വൈലോപ്പള്ളി,
നെഞ്ഞു കുളിർത്തു ചിരിയ്ക്കൂലോ,,വൈലോപ്പള്ളി,
കാറ്റുകൾ തല്ലിത്തൊഴിക്കേ  മഴ,,വൈലോപ്പള്ളി,
ക്കാട്ടിലേക്കമ്പു പൊഴിയ്ക്കേ,,വൈലോപ്പള്ളി,
പശ്ചിമ സന്ധ്യയെരിഞ്ഞു  ചെറു,,വൈലോപ്പള്ളി,
പിച്ചകപ്പൂവു വിരിഞ്ഞൂ,,വൈലോപ്പള്ളി,
കൂരിരുട്ടിന്റെ കിടാത്തി യെന്നാൽ,,വൈലോപ്പള്ളി,
സൂര്യ പ്രകാശത്തിനുറ്റ തോഴി,,വൈലോപ്പള്ളി,
പൊന്നും ചിങ്ങം വന്നിട്ടും നീ,,ചങ്ങമ്പുഴ,
മിന്നും മാലേം കെട്ടീല്ലേ ?,,ചങ്ങമ്പുഴ,
അമ്മേ ചിറകുവിരിച്ചിനി ഞാൻ,,ചങ്ങമ്പുഴ,
ചെമ്മേ പാറിപ്പോകട്ടേ,,ചങ്ങമ്പുഴ,
മുറ്റത്തെ മുല്ലകളൊക്കെപ്പൂത്തൂ,,ചങ്ങമ്പുഴ,
കറ്റക്കിടാവിന്റെ കൺ കുളിർത്തൂ,,ചങ്ങമ്പുഴ,
പഠിപ്പു തീർന്നാൽ പട്ടാളത്തിൽ,,എൻ. വി,
പ്പോയിച്ചേരും ഞാൻ,,എൻ. വി,
ഏഴിലം കാറ്റിൽ പണ്ടൊരു കാക്ക,,വയലാർ,
ഏകാദശി നോറ്റൂ,,വയലാർ,
പടി പതിനെട്ടാണു കോവിലി ന്നാദ്യത്തെ,,സുഗതകുമാരി,
പ്പടിയിലിരിപ്പൂ ഞാൻ ദേവദാസി,,സുഗതകുമാരി,
ഇന്നു മുണ്ടോണം മക്കൾക്കില്ലയൊന്നിനും നേരം,കേക,സുഗതകുമാരി,
അമ്മ ചെയ്തോളൂ വേണമെങ്കിലെന്നവർ പോകെ,കേക,സുഗതകുമാരി,
അടിവെള്ളം വേരോടുണക്കിയിട്ട്,,സുഗതകുമാരി,
കുടിവെളളം ലോറി വരുത്തും കയ്യ്,,സുഗതകുമാരി,
പിളർക്കുന്ന പ്രപഞ്ചത്തിൻ മേലാതിപ്പനുള്ളിൽ നിന്നും,,സുഗതകുമാരി,
കുതിച്ചിറങ്ങുന്നു ലക്ഷം മുല്ലമാലകൾ,,സുഗതകുമാരി,
ഇനിയും മുറിക്കത്തൊരൊറ്റയാൽ ച്ചോട്ടിലാ,,സുഗതകുമാരി,
പ്പഴയ പാന്ഥൻ വന്നിരിക്കുന്നു ശാന്തമായ്‌,,സുഗതകുമാരി,
പൈങ്കിളിപ്പെണ്ണേ വരികെന്നരികിൽ നീ,,സുഗതകുമാരി,
സങ്കടമാറ്റുവാൻ വല്ലതും ചൊല്ലുക,,സുഗതകുമാരി,
നിറമിതു ചോപ്പാണ് പൊൻമഞ്ഞയാ ണല്ലേ,,സുഗതകുമാരി,
നിറമിതു നീലിച്ചിരുണ്ടതാണ്,,സുഗതകുമാരി,
തലയോടു മാലയോ താമര മാലയോ,,സുഗതകുമാരി,
തനിമുത്തു മാലയോ വേണ്ടതമ്മേ,,സുഗതകുമാരി,
അമ്പലപ്പുഴ ഉണ്ണിക്കണ്ണനോടു നീ,,കൈതപ്രം ദാമോദരൻ നമ്പൂതിരി,
എന്തു പരിഭവം മെല്ലെയോതി വന്നു നീ,,കൈതപ്രം ദാമോദരൻ നമ്പൂതിരി,
സ്വന്തമെന്ന പദത്തിനെന്തർത്ഥം,,ശ്രീകുമാരൻ തമ്പി,
ബന്ധമെന്ന പദത്തിനെന്തർത്ഥം,,ശ്രീകുമാരൻ തമ്പി,
കതിർ മണ്ഡപം സ്വപ്‍ന സ്വരമണ്ഡപം,,ശ്രീകുമാരൻ തമ്പി,
കതിർ ചൂടുമനുരാഗ ശ്രുതിമണ്ഡപം,,ശ്രീകുമാരൻ തമ്പി,
ഹൃദയവാഹിനി ഒഴുകുന്നു നീ,,ശ്രീകുമാരൻ തമ്പി,
മധുര സ്നേഹ തരംഗിണിയായ്,,ശ്രീകുമാരൻ തമ്പി,
കളിയും ചിരിയും ഖബറിലടങ്ങും,,ശ്രീകുമാരൻ തമ്പി,
കല്പനകാക്കാൻ നമ്മൾ മടങ്ങും,,ശ്രീകുമാരൻ തമ്പി,
ജയിക്കാനായ് ജനിച്ചവൻ ഞാൻ,,ശ്രീകുമാരൻ തമ്പി,
എതിർക്കാനായ് വളർന്നവൻ ഞാൻ,,ശ്രീകുമാരൻ തമ്പി,
ചെല്ലച്ചെറു കിളിയേഎൻ,,ശ്രീകുമാരൻ തമ്പി,
ചിത്തിര പൈങ്കിളിയേ,,ശ്രീകുമാരൻ തമ്പി,
തുയിലുണരൂ തുയിലുണരൂ തുമ്പികളേ,,ശ്രീകുമാരൻ തമ്പി,
തുമ്പപ്പൂങ്കാട്ടിലെ  വീണകളെ,,ശ്രീകുമാരൻ തമ്പി,
ഹൃദയ സരസ്സിലെ പ്രണയ പുഷ്പമേ,,ശ്രീകുമാരൻ തമ്പി,
ഇനിയും നിൻ കഥ പറയൂ,,ശ്രീകുമാരൻ തമ്പി,
അകലെയകലെ നീലാകാശം,,ശ്രീകുമാരൻ തമ്പി,
അലതല്ലും മേഘതീർത്ഥം,,ശ്രീകുമാരൻ തമ്പി,
പൊൻ വെയിൽ മണിക്കച്ചയഴിഞ്ഞു വീണു,,ശ്രീകുമാരൻ തമ്പി,
സ്വർണ്ണ പീതാംബരമുലഞ്ഞു വീണു,,ശ്രീകുമാരൻ തമ്പി,
ആ നിമിഷത്തിന്റെ നിർവൃതിയിൽ ഞാ,,ശ്രീകുമാരൻ തമ്പി,
നൊരാവണിത്തെന്നലായ് മാറി,,ശ്രീകുമാരൻ തമ്പി,
എത്ര ചിരിച്ചാലും ചിരി തീരുമോ നിന്റെ,,ശ്രീകുമാരൻ തമ്പി,
ചിത്തിര പ്പൂവിതൾ ചുണ്ടിൽ,,ശ്രീകുമാരൻ തമ്പി,
തിരുവാഭരണം ചാർത്തി വിടർന്നു,,ശ്രീകുമാരൻ തമ്പി,
തിരുവാതിര നക്ഷത്രം,,ശ്രീകുമാരൻ തമ്പി,
പാടാം നമുക്ക് പാടാം,,ശ്രീകുമാരൻ തമ്പി,
വീണ്ടുമൊരു പ്രേമഗാനം,,ശ്രീകുമാരൻ തമ്പി,
കണ്ണിൽ കണ്ണിൽ നോക്കിയിരുന്നാൽ,,ശ്രീകുമാരൻ തമ്പി,
കരളിൻ ദാഹം തീരുമോ,,ശ്രീകുമാരൻ തമ്പി,
ഗോപീ ചന്ദനക്കുറിയണിഞ്ഞു,,ശ്രീകുമാരൻ തമ്പി,
ഗോമതിയായവൾ മുന്നിൽ വന്നു,,ശ്രീകുമാരൻ തമ്പി,
മലയാള ഭാഷതൻ മാദക ഭംഗി നിൻ,,ശ്രീകുമാരൻ തമ്പി,
മലർ മന്ദഹാസമായ് വിരിയുന്നു,,ശ്രീകുമാരൻ തമ്പി,
നിൻ പദങ്ങളിൽ നൃത്തമാടിടും,,ശ്രീകുമാരൻ തമ്പി,
എന്റെ സ്വപ്നജാലം,,ശ്രീകുമാരൻ തമ്പി,
പൊന്നും തരിവള മിന്നും കയ്യിൽ,,ശ്രീകുമാരൻ തമ്പി,
ഒന്നു തൊടാനൊരു മോഹം,,ശ്രീകുമാരൻ തമ്പി,
മണിവർണ്ണനില്ലാത്ത വൃന്ദാവനം,,ശ്രീകുമാരൻ തമ്പി,
മധുമാസം പുണരാത്ത പൂങ്കാവനം,,ശ്രീകുമാരൻ തമ്പി,
പൂവിനു കോപം വന്നാൽ അത്,,ശ്രീകുമാരൻ തമ്പി,
മുള്ളായി മാറുമോ തങ്കമണീ,,ശ്രീകുമാരൻ തമ്പി,
സിന്ദൂരപ്പൊട്ട് തൊട്ട് ശൃംഗാര കൈയ്യും വീശി,കേക,ശ്രീകുമാരൻ തമ്പി,
ഇന്നെന്റെ മുന്നിലൊരു പൂക്കാലം വിരുന്നു വന്നു,കേക,ശ്രീകുമാരൻ തമ്പി,
രാജീവ നയനേ നീയുറങ്ങൂ,,ശ്രീകുമാരൻ തമ്പി,
രാഗവിലോലേ നീയുറങ്ങൂ,,ശ്രീകുമാരൻ തമ്പി,
അമ്മതൻ കണ്ണിനമൃതം  പോയ,,ശ്രീകുമാരൻ തമ്പി,
ജന്മത്തു ചെയ്ത സുകൃതം,,ശ്രീകുമാരൻ തമ്പി,
ഉത്തരാസ്വയം വരം കഥകളി കാണുവാൻ,,ശ്രീകുമാരൻ തമ്പി,
ഉത്രാടരാത്രിയിൽ പോയിരുന്നു,,ശ്രീകുമാരൻ തമ്പി,
കനക സിംഹാസനത്തിൽ കയറിയിരിക്കുന്നവൻ,,പി. ഭാസ്കരൻ,
ശുനകനോ വെറും ശുംഭനോ,,പി. ഭാസ്കരൻ,
ഗോവർദ്ധനഗിരി കയ്യിലുയർത്തിയ,,ശ്രീകുമാരൻ തമ്പി,
ഗോപകുമാരൻ വരുമോ തോഴീ ?,,ശ്രീകുമാരൻ തമ്പി,
അറബിക്കടലിളകി വരുന്നു,,ശ്രീകുമാരൻ തമ്പി,
ആകാശപ്പൊന്നു വരുന്നു,,ശ്രീകുമാരൻ തമ്പി,
അയല പൊരിച്ചതുണ്ട് കരിമീൻ വറുത്തതുണ്ട്,കേക,ശ്രീകുമാരൻ തമ്പി,
കൊടമ്പുളിയിട്ടു വെച്ച നല്ല ചെമ്മീൻ കറിയുണ്ട്,കേക,ശ്രീകുമാരൻ തമ്പി,
നാലുകാലുള്ളൊരു നങ്ങേലിപ്പെണ്ണിനെ,,,Traditional
കോലു നാരായണൻ കട്ടോണ്ടു പോയി,,,Traditional
ഒരു രൂപ നോട്ടു കൊടുത്താൽ,,ശ്രീകുമാരൻ തമ്പി,
ഒരു ലക്ഷം കൂടെപ്പോരും,,ശ്രീകുമാരൻ തമ്പി,
വെള്ളിലക്കിങ്ങിണി  താഴ്വരയിൽ,,ശ്രീകുമാരൻ തമ്പി,
വെള്ളാമ്പൽ പ്പൊയ്കതൻ കല്പടവിൽ,,ശ്രീകുമാരൻ തമ്പി,
കാളീ ഭദ്രകാളീ കാത്തരുളൂ ദേവി,,ശ്രീകുമാരൻ തമ്പി,
മായേ മഹാമായേ മാരയമ്മൻ തായേ,,ശ്രീകുമാരൻ തമ്പി,
നിരാധാരമായുള്ള ലോകത്തിനെല്ലാം,,കുഞ്ചൻ നമ്പ്യാർ,
വരം നൽകുമോനേ നമസ്തേ നമസ്തേ,,കുഞ്ചൻ നമ്പ്യാർ,
ഗുണഗണ നിലയൻ നിത്യവുമെന്നെ,,കുഞ്ചൻ നമ്പ്യാർ,
ഗണപതി ഭഗവാൻ കാത്തരുളേണം,,കുഞ്ചൻ നമ്പ്യാർ,
വീണാപാണേ നിൻ പദകമലേ,,കുഞ്ചൻ നമ്പ്യാർ,
വീണൊരാടിയനു വരമരുളേണം,,കുഞ്ചൻ നമ്പ്യാർ,
തിരുവന്തപുരേ വിളങ്ങിന പത്മനാഭ നമോസ്തുതേ,,കുഞ്ചൻ നമ്പ്യാർ,
തരുണ ജലധര നികര തുലിതകളേബരായ നമോസ്തുതേ,,കുഞ്ചൻ നമ്പ്യാർ,
ഗ്രന്ഥം കരത്തിലുണ്ടായാൽ മതിയല്ല,,കുഞ്ചൻ നമ്പ്യാർ,
ചന്തത്തിലർത്ഥം ഗ്രഹിച്ചേ ഫലം വരൂ,,കുഞ്ചൻ നമ്പ്യാർ,
കളമൊഴിയെന്നും കാമിനിയെന്നും,,കുഞ്ചൻ നമ്പ്യാർ,
കളഭമനോഹര ഗാമിനിയെന്നും,,കുഞ്ചൻ നമ്പ്യാർ,
നീയാരെന്നും ഞാനാരെന്നും,,കുഞ്ചൻ നമ്പ്യാർ,
താനറിയാത്തവനെത്ര കുബുദ്ധി,,കുഞ്ചൻ നമ്പ്യാർ,
രണ്ടു കളത്രത്തെയുണ്ടാക്കി വയ്ക്കുന്ന,,കുഞ്ചൻ നമ്പ്യാർ,
തണ്ടു തപ്പിക്കു സുഖമില്ലൊരിക്കലും,,കുഞ്ചൻ നമ്പ്യാർ,
കണ്ടാലറിവാൻ സമർത്ഥനല്ലാത്തവൻ,,കുഞ്ചൻ നമ്പ്യാർ,
കൊണ്ടാലറിയുമയതിനില്ല സംശയം,,കുഞ്ചൻ നമ്പ്യാർ,
ചാട്ടത്തിൽ നിന്നു പിഴച്ചു പോയോ നിന്റെ,,കുഞ്ചൻ നമ്പ്യാർ,
കൂട്ടത്തിൽ മറ്റാരുമില്ലാത്തതെന്തടാ,,കുഞ്ചൻ നമ്പ്യാർ,
മുല്ലപ്പൂമ്പൊടിയേറ്റു കിടക്കും,,കുഞ്ചൻ നമ്പ്യാർ,
കല്ലിനുമുണ്ടൊരു സൗരഭ്യം,,കുഞ്ചൻ നമ്പ്യാർ,
തട്ടും മുട്ടും ചെണ്ടയ്ക്കെത്രേ,,കുഞ്ചൻ നമ്പ്യാർ,
കിട്ടും പണമതു മാരന്മാർക്കും,,കുഞ്ചൻ നമ്പ്യാർ,
എമ്പ്രാനല്പം കട്ടു ഭുജിച്ചാ,,കുഞ്ചൻ നമ്പ്യാർ,
ലമ്പലവാസികളൊക്കെ കക്കും,,കുഞ്ചൻ നമ്പ്യാർ,
ഉപ്പു ചുമന്നു നടക്കുന്നവനൊരു,,കുഞ്ചൻ നമ്പ്യാർ,
കപ്പലു കടലിലിറക്കാൻ മോഹം,,കുഞ്ചൻ നമ്പ്യാർ,
ആന വിറ്റു പണമുണ്ടാക്കുന്നവനെത്തെളിയിപ്പാൻ,,കുഞ്ചൻ നമ്പ്യാർ,
ചേന വിറ്റു നടക്കുന്ന ചങ്ങാതി മതിയാമോ ?,,കുഞ്ചൻ നമ്പ്യാർ,
കുളിച്ചെങ്കിലതു കുറ്റം കുളിക്കാഞ്ഞാലതും കുറ്റം,,കുഞ്ചൻ നമ്പ്യാർ,
പറഞ്ഞെങ്കിലതു കുറ്റം പറയാഞ്ഞാലതും കുറ്റം,,കുഞ്ചൻ നമ്പ്യാർ,
ആശാനാക്ഷരമൊന്നു പിഴച്ചാൽ,,കുഞ്ചൻ നമ്പ്യാർ,
അയ്മ്പത്തൊന്നു പിഴയ്ക്കും ശിഷ്യൻ,,കുഞ്ചൻ നമ്പ്യാർ,
കനകം മൂലം കാമിനി മൂലം,,കുഞ്ചൻ നമ്പ്യാർ,
കലഹം പലവിധമുലകിൽ സുലഭം,,കുഞ്ചൻ നമ്പ്യാർ,
അതു കൊണ്ടരിശം തീരാഞ്ഞവന,,കുഞ്ചൻ നമ്പ്യാർ,
പ്പുരയുടെ ചുറ്റും മണ്ടി നടന്നു,,കുഞ്ചൻ നമ്പ്യാർ,
വെള്ളവുമൊട്ടു കുടിച്ചു തടിച്ചു,,കുഞ്ചൻ നമ്പ്യാർ,
പള്ളയുമമ്പോടു വീർത്തു തുടങ്ങി,,കുഞ്ചൻ നമ്പ്യാർ,
വലരിപുസുതനുടെ ജടയുടെ  നടുവിൽ,,കുഞ്ചൻ നമ്പ്യാർ,
പലപല പക്ഷികൾ കൂടുകൾ കൂട്ടി,,കുഞ്ചൻ നമ്പ്യാർ,
കളമൊഴികളുടെ കേളി തുടങ്ങീ,,കുഞ്ചൻ നമ്പ്യാർ,
തള വളകളുമാശു കിലുങ്ങി,,കുഞ്ചൻ നമ്പ്യാർ,
ആട്ടകളാടി നടക്കുന്നിതു ചില,,കുഞ്ചൻ നമ്പ്യാർ,
കൂട്ടം ജനം ധനം മോഹിക്ക കാരണം,,കുഞ്ചൻ നമ്പ്യാർ,
ഉരുണ്ട തിണ്ണയിൽ പരന്നപായിട്ട്,,,നാടോടിപ്പാട്ട്
ഞാൻ കിടന്നുറങ്ങുമ്പോൾ,,,നാടോടിപ്പാട്ട്
അലക്കും തൊങ്കലും പൊടുപ്പും വെച്ചൊരു,,,നാടോടിപ്പാട്ട്
കൊതുവല്ലേ വന്നു കടിച്ചത്,,,നാടോടിപ്പാട്ട്
കോതിക്കെട്ടിയ പീലിത്തിരുമുടി,,,നാടോടിപ്പാട്ട്
എങ്ങനെയഴിഞ്ഞനെടീ കുറത്തിയേ,,,നാടോടിപ്പാട്ട്
മോഹിച്ച കണ്ണിന്നു പൊൽക്കണിപ്പൂക്കളും,,ഓ.എൻ.വി,
ദാഹിച്ച ചുണ്ടിനു നൽത്തേൻ കണികളും,,ഓ.എൻ.വി,
കോലക്കുഴലു വിളിച്ചാൽപ്പോരാ,,ഓ.എൻ.വി,
കാളിയ മർദ്ദനമാടേണം,,ഓ.എൻ.വി,
എൻ കരൾച്ചില്ലു പാത്രത്തിൽ ഞാൻ സൂക്ഷിപ്പു,,ഓ.എൻ.വി,
നിൻ നയനണളാം നീല മത്സ്യങ്ങളെ,,ഓ.എൻ.വി,
കാണക്കാണെ വയസ്സാവുന്നു,,ഓ.എൻ.വി,
മക്കൾക്കെല്ലാമെന്നാലമ്മേ,,ഓ.എൻ.വി,
സ്വയം മൃത്യുവെക്കൈവരിച്ചോരു കന്യ,,ഓ.എൻ.വി,
നിശാഗന്ധി നീയെത്ര ധന്യ,,ഓ.എൻ.വി,
വെള്ളരി പൂക്കുന്നൊരാറ്റിറമ്പിൽ,,ഓ.എൻ.വി,
നെല്ലോലചായും വയൽ വരമ്പിൽ,,ഓ.എൻ.വി,
അന്നവും വസ്ത്രവും അപ്പവും വീഞ്ഞുമായ്,,ഓ.എൻ.വി,
എന്നിനി രക്ഷകൻ വന്നു ചേരും,,ഓ.എൻ.വി,
വരുന്ന നൂറ്റാണ്ടിലൊരു ദിനം വീണ്ടും,,ഓ.എൻ.വി,
വരുമീ ഭൂമിതൻ മടിയിലേയ്ക്കു ഞാൻ,,ഓ.എൻ.വി,
കൈയ്യിലൊരൊറ്റക്കുപ്പിവള മുഖം,,ഓ.എൻ.വി,
കണ്ടാൽ കാവിലെ ദേവി തന്നെ,,ഓ.എൻ.വി,
ആവണിപ്പാടം കുളിച്ചു തോർത്തി മുടി,,ഓ.എൻ.വി,
യാകെ വിടർത്തിയുലർത്തി നിന്നു,,ഓ.എൻ.വി,
ഇരുളിന്റെ ചാവു കടൽ മീതെയായ് സ്വാതന്ത്ര്യ,,ഓ.എൻ.വി,
ഗരുഡന്റെ ചിറകാർന്ന നൗകയണയുന്നു,,ഓ.എൻ.വി,
അച്ചിങ്ങയും കൊച്ചു പച്ചീർക്കിലും കൊണ്ടേ,,ഓ.എൻ.വി,
ഓച്ചിറക്കാളയെ കെട്ടി ഞങ്ങൾ,,ഓ.എൻ.വി,
കണ്ടു കണ്ടങ്ങൊഴുകും പുഴയെ,,ഓ.എൻ.വി,
കണ്ടില്ലെന്നു വരുത്തുകിലെന്തേ ?,,ഓ.എൻ.വി,
പച്ചയുടുക്കുമ്പോൾ പാടമായ് മാറും വെള്ള,കേക,കിളിമാനൂർ രമാകാന്തൻ,
പ്പട്ടു നീയുടുക്കുമ്പോൾ അരയന്നമായ്‌ ത്തീരും,കേക,കിളിമാനൂർ രമാകാന്തൻ,
കൊച്ചിയിലുള്ളൊരു കൊച്ചമ്മായി,,സി. പി,
യിയ്ക്കായുച്ചയ്ക്കൂണിനു പച്ചടി വേണം,,സി. പി,
മണ്ണിൽ കുളിക്കുന്ന കണ്ണനെ കണ്ടു,,സി. പി,
വെണ്ണ കട്ടുണ്ണുന്ന കണ്ണനെ കണ്ടു,,സി. പി,
കണ്ടാൽ നല്ലൊരു ചെണ്ട,,സി. പി,
ചെണ്ടയ്ക്കുണ്ടൊരു മണ്ട,,സി. പി,
തത്തി തത്തിപ്പാടത്തെ,,സി. പി,
വിത്തുകൾ കൊത്തും തത്തമ്മേ,,സി. പി,
അന്തപ്പനന്തിക്കു പന്തവും കത്തിച്ചു,,സി. പി,
പന്തളം ചന്തയിലെത്തിയപ്പോൾ,,സി. പി,
അപ്പം തിന്നു അപ്പടി തിന്നു,,സി. പി,
അപ്പുക്കുട്ടൻ പെപ്പെ പ്പേ,,സി. പി,
അമ്പോ വലിയൊരു കൊമ്പനാന,,സി. പി,
കൊമ്പു കുലുക്കുന്ന കൊമ്പനാന,,സി. പി,
ലല്ലലലം പാട്ടും പാടും,,സി. പി,
അല്ലിമലർക്കാവ്,,സി. പി,
വള്ളം വള്ളം കളിവള്ളം,,സി. പി,
ഉള്ളം കവരും കളിവള്ളം,,സി. പി,
ഈറ്റക്കാട്ടിൽ പോകല്ല,,സി. പി,
ഈറ്റപ്പുലിയുടെ മടയുണ്ടേ,,സി. പി,
അമ്മയെത്തി അരിയിടിച്ചു അ അ അ,,സി. പി,
ഇടവമെത്തി ഇടി മുഴങ്ങി ഇ ഇ ഇ,,സി. പി,
ചെപ്പുമെടുത്തിട്ടപ്പുക്കുട്ടൻ,,ബി.സന്ധ്യ,
തക്കിട തരികിട കൊട്ടുന്നു,,ബി.സന്ധ്യ,
ആന വരുന്നേ ആന വരുന്നേ,,പി. കെ. ശങ്കരൻകുട്ടി,
അമ്പലമുറ്റത്താന വരുന്നു,,പി. കെ. ശങ്കരൻകുട്ടി,
ഒന്നൊരു പാവം പാവയ്ക്ക,,പി. കെ. ശങ്കരൻകുട്ടി,
രണ്ടൊരു മണ്ടൻ വെണ്ടയ്ക്ക,,പി. കെ. ശങ്കരൻകുട്ടി,
നാലൊരു മുണ്ടൻ തക്കാളി,,പി. കെ. ശങ്കരൻകുട്ടി,
നാലൊരു നീണ്ട മുരിങ്ങയ്ക്ക,,പി. കെ. ശങ്കരൻകുട്ടി,
പടപ്പാട്ടു പാടാം പടച്ചട്ട ചാർത്താം,,വട്ടപ്പറമ്പിൽ,
പടക്കോപ്പു കൈകളിലേന്താം,,വട്ടപ്പറമ്പിൽ,
പൂവുകൾ തേടിപ്പാറി നടക്കും,,എസ്.രാജശേഖരൻ,
പൂമ്പാറ്റേ പോരൂ,,എസ്.രാജശേഖരൻ,
അടിപിടി കടിപിടി മുറവിളി കൂട്ടും,,എസ്.രാജശേഖരൻ,
വിരുതന്മാരുണ്ടേ,,എസ്.രാജശേഖരൻ,
തുമ്പക്കുടമതിൽ നിറയെപ്പൂക്കൾ,,എസ്.രാജശേഖരൻ,
വെള്ളയുതിർത്തു ചിരിക്കുമ്പോൾ,,എസ്.രാജശേഖരൻ,
മഴ മഴ മഴ മഴ പെയ്യുന്നു,,എസ്. രാജശേഖരൻ,
മഴതൻ നൂലുകൾ ചായുന്നു,,എസ്. രാജശേഖരൻ,
ഊഞ്ഞാലിൻപ്പാട്ടിൻ മേളം കേട്ടി,,എസ്. രാജശേഖരൻ,
ട്ടോണം വന്നു വിളിക്കുന്നു.,,എസ്. രാജശേഖരൻ,
പാട്ടുപാടാൻ നാടിൻ,,എസ്. രാജശേഖരൻ,
കൂട്ടമൊപ്പം വേണം,,എസ്. രാജശേഖരൻ,
എഴുത്തുകാർക്ക് വേണ്ടതെന്ത്,,ഏവൂർ,
സ്വന്തമായ ശൈലിയും,,ഏവൂർ,
മുഴത്തൊരാത്മ ശക്തിയും,,ഏവൂർ,
സ്വന്തമായ ദൃഷ്ടിയും,,ഏവൂർ,
ഇഴഞ്ഞും നടന്നും കളിക്കുന്ന കാലം,,ഏവൂർ,
പറഞ്ഞും ചിരിച്ചും രസിക്കുന്ന കാലം,,ഏവൂർ,
